brand,model,weight_g,price_EUR,img_url,length_mm,width_mm,thickness_mm,display_size_pixels,internal_memory_GB,primary_camera_MP,secondary_camera_MP,battery_mAh,is_removable,screen_to_body_ratio,cpu_speed,ram_size,technology_type,color_support,additional_features
Samsung,Galaxy A7 (2016),172,380,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a7-2016.jpg,151.5,74.1,7.3,1080 x 1920,16.0,13,5.0,3300.0,0,74.3,1.6,3.0,Super AMOLED,16M,[]
Samsung,Galaxy A5 (2016),155,270,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a5-2016.jpg,144.8,71.0,7.3,1080 x 1920,16.0,13,5.0,2900.0,0,72.5,1.6,2.0,Super AMOLED,16M,[]
Samsung,Galaxy A3 (2016),132,200,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a3-2016.jpg,134.5,65.2,7.3,720 x 1280,16.0,13,5.0,2300.0,0,69.4,1.5,1.5,Super AMOLED,16M,[]
Samsung,Galaxy J3 (2016),138,140,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j3.jpg,142.3,71.0,7.9,720 x 1280,16.0,8,5.0,2600.0,1,68.2,1.5,2.0,Super AMOLED,16M,[]
Samsung,Galaxy View,2.65,640,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-view.jpg,451.8,275.8,11.9,1080 x 1920,64.0,1,,5700.0,0,74.9,1.6,2.0,TFT,16M,[]
Samsung,Galaxy On7,172,180,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-on7-.jpg,151.8,77.5,8.2,720 x 1280,8.0,13,5.0,3000.0,1,70.9,1.2,1.5,TFT,16M,[]
Samsung,Galaxy On5,149,140,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-on5.jpg,142.3,72.1,8.5,720 x 1280,8.0,8,5.0,2600.0,1,70.0,1.3,1.5,TFT,16M,[]
Samsung,Z3,137,110,http://cdn2.gsmarena.com/vv/bigpic/samsung-z3.jpg,141.6,70.0,7.9,720 x 1280,8.0,8,5.0,2600.0,1,69.5,1.3,1.0,Super AMOLED,16M,[]
Samsung,Galaxy J1 Ace,131,140,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j1-ace.jpg,130.1,67.6,9.5,480 x 800,4.0,5,2.0,1900.0,1,59.8,1.5,524288.0,Super AMOLED,16M,[]
Samsung,Galaxy Note5 (USA),171,540,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note5.jpg,153.2,76.1,7.6,1440 x 2560,64.0,16,5.0,3000.0,0,76.8,2.1,4.0,Super AMOLED,16M,[]
Samsung,Galaxy Note5,171,590,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note5.jpg,153.2,76.1,7.6,1440 x 2560,128.0,16,5.0,3000.0,0,75.9,2.1,4.0,Super AMOLED,16M,[]
Samsung,Galaxy Note5 Duos,171,600,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note5.jpg,153.2,76.1,7.6,1440 x 2560,64.0,16,5.0,3000.0,0,76.8,2.1,4.0,Super AMOLED,16M,[]
Samsung,Galaxy S6 edge+ (USA),153,550,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s6-edge-plus.jpg,154.4,75.8,6.9,1440 x 2560,64.0,16,5.0,3000.0,0,76.5,2.1,4.0,Super AMOLED,16M,[]
